,Close
0,14.88594
1,15.239732
2,15.594964
3,15.895317
4,16.128244
5,16.328054
6,16.433208
7,16.566904
8,16.764633
9,16.954798
10,17.153042
11,17.333986
12,17.499737
13,17.626171
14,17.604113
15,17.498737
16,17.217688
17,16.917103
18,16.623491
19,16.346025
20,16.06866
21,15.839634
22,15.597376
23,15.364111
24,15.259466
25,15.271158
26,15.368875
27,15.524153
28,15.729351
29,16.007866
30,16.257307
31,16.481789
32,16.675364
33,16.816875
34,16.929575
35,17.03203
36,17.083786
37,17.0365
38,16.914228
39,16.742369
40,16.542953
41,16.400827
42,16.373995
43,16.468071
44,16.656061
45,16.811523
46,16.966722
47,17.023327
48,16.923117
49,16.67408
50,16.388351
51,16.039019
52,15.676707
53,15.385919
54,15.095044
55,14.882792
56,14.753193
57,14.675168
58,14.627379
59,14.624518
60,14.627505
61,14.638623
62,14.631657
63,14.654051
64,14.719302
65,14.805439
66,14.8786335
67,14.972032
68,15.083641
69,15.199993
70,15.275344
71,15.329044
72,15.378739
73,15.415539
74,15.424472
75,15.422835
76,15.420758
77,15.359077
78,15.17473
79,14.828482
80,14.45144
81,14.062878
82,13.72605
83,13.48355
84,13.356959
85,13.343255
86,13.35022
87,13.407138
88,13.535626
89,13.679198
90,13.784171
91,13.873436
92,13.948785
93,13.964637
94,13.948213
95,13.969363
96,14.028253
97,14.117659
98,14.246397
99,14.411015
100,14.519219
101,14.588128
102,14.666205
103,14.739593
104,14.748846
105,14.748118
106,14.764665
107,14.784225
108,14.805523
109,14.820766
110,14.778499
111,14.709033
112,14.676384
113,14.681638
114,14.798499
115,14.920654
116,15.049261
117,15.1926985
118,15.3969965
119,15.641369
120,15.865
121,16.037174
122,16.072107
123,16.108524
124,16.134802
125,16.163258
126,16.250338
127,16.365643
128,16.407507
129,16.340467
130,16.207935
131,15.986517
132,15.7568655
133,15.551839
134,15.348151
135,15.197514
136,15.015553
137,14.8308325
138,14.687828
139,14.585664
140,14.49983
141,14.400329
142,14.29096
143,14.174971
144,14.0769415
145,13.999199
146,13.953333
147,13.968131
148,14.030055
149,14.10157
150,14.140956
151,14.1581
152,14.1717615
153,14.212872
154,14.244491
155,14.301505
156,14.347472
157,14.397935
158,14.369176
159,14.296449
160,14.227389
161,14.169122
162,14.07009
163,13.94578
164,13.767719
165,13.640684
166,13.567876
167,13.531367
168,13.487075
169,13.369972
170,13.238215
171,13.116222
172,13.032181
173,12.902662
174,12.740268
175,12.55916
176,12.400985
177,12.235997
178,12.10414
179,12.059333
180,12.073468
181,12.126064
182,12.220843
183,12.304102
184,12.380733
185,12.431124
186,12.447713
187,12.43327
188,12.409278
189,12.382993
190,12.38413
191,12.4060755
192,12.453811
193,12.532043
194,12.596656
195,12.663233
196,12.729054
197,12.784968
198,12.8577
199,12.922965
